Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend,typical,ma14,standardDeviation
2017-10-25,991.46,986.27,994.43,977.72,1530000.0,10,2017,1516933800.0,0.0,Slight or No change,987.87,0.0,0.0
2017-10-26,991.42,998.47,1006.51,990.47,2370000.0,10,2017,2349665400.0,-4.0344542392101175e-05,Slight or No change,996.1333333333333,0.0,0.0
2017-10-27,1033.67,1030.99,1063.62,1026.85,5180000.0,10,2017,5354410600.0,0.04261564221016334,Slight or No change,1041.3799999999999,0.0,0.0
2017-10-30,1033.13,1029.16,1039.83,1022.33,2340000.0,10,2017,2417524200.0000005,-0.0005224104404694119,Slight or No change,1031.7633333333333,0.0,0.0
2017-10-31,1033.04,1033.0,1041.0,1026.3,1520000.0,10,2017,1570220800.0,-8.711391596427642e-05,Slight or No change,1033.4466666666667,0.0,0.0
2017-11-01,1042.6,1036.32,1047.86,1034.0,2160000.0,11,2017,2252016000.0,0.009254239913265572,Slight or No change,1041.4866666666665,0.0,0.0
2017-11-02,1042.97,1039.99,1045.52,1028.66,1330000.0,11,2017,1387150100.0,0.0003548820257051055,Slight or No change,1039.0500000000002,0.0,0.0
2017-11-03,1049.99,1042.75,1050.66,1037.65,1390000.0,11,2017,1459486100.0,0.00673077845000325,Slight or No change,1046.1000000000001,0.0,0.0
2017-11-06,1042.68,1049.1,1052.59,1042.0,914750.0,11,2017,953791530.0,-0.006961971066391071,Slight or No change,1045.756666666667,0.0,0.0
2017-11-07,1052.39,1049.65,1053.41,1043.0,1310000.0,11,2017,1378630900.0000002,0.009312540760348265,Slight or No change,1049.6000000000001,0.0,0.0
2017-11-08,1058.29,1050.05,1062.69,1047.05,1210000.0,11,2017,1280530900.0,0.005606286642784397,Slight or No change,1056.01,0.0,0.0
2017-11-09,1047.72,1048.0,1050.88,1035.85,1790000.0,11,2017,1875418800.0,-0.009987810524525352,Slight or No change,1044.8166666666666,0.0,0.0
2017-11-10,1044.15,1043.87,1046.63,1041.22,972130.0,11,2017,1015049539.5,-0.003407398923376381,Slight or No change,1044.0000000000002,0.0,0.0
2017-11-13,1041.2,1040.8,1048.74,1039.26,940720.0,11,2017,979477664.0,-0.002825264569266905,Slight or No change,1043.0666666666666,1035.7485714285715,19.556655924891473
2017-11-14,1041.64,1037.72,1042.3,1029.33,1050000.0,11,2017,1093722000.0,0.0004225893200153763,Slight or No change,1037.756666666667,1039.3119047619045,13.883937328831426
2017-11-15,1036.41,1035.0,1039.63,1030.76,905260.0,11,2017,938220516.6,-0.005020928535770519,Slight or No change,1035.6000000000001,1042.1309523809523,6.469211689062617
2017-11-16,1048.47,1038.75,1051.76,1038.0,1190000.0,11,2017,1247679300.0,0.011636321532983995,Slight or No change,1046.0766666666668,1042.4664285714287,6.548565376169305
2017-11-17,1035.89,1049.8,1051.0,1033.73,1340000.0,11,2017,1388092600.0000002,-0.011998435815998463,Slight or No change,1040.2066666666667,1043.0695238095238,5.837190791553897
2017-11-20,1034.66,1036.0,1038.69,1032.67,876320.0,11,2017,906693251.2,-0.0011873847609302768,Slight or No change,1035.3400000000001,1043.204761904762,5.6147913196206005
2017-11-21,1050.3,1040.04,1050.39,1039.14,1110000.0,11,2017,1165833000.0,0.015116076778845187,Slight or No change,1046.61,1043.5707142857145,5.660968655382371
2017-11-22,1051.92,1051.16,1055.43,1047.25,726900.0,11,2017,764640648.0,0.0015424164524422412,Slight or No change,1051.5333333333335,1044.4623809523812,5.873282608206038
2017-11-24,1056.52,1054.39,1060.07,1051.92,825370.0,11,2017,872019912.4,0.00437295611833588,Slight or No change,1056.1699999999998,1045.1816666666668,6.653999215175994
2017-11-27,1072.01,1058.57,1073.04,1054.77,1770000.0,11,2017,1897457700.0,0.014661341006322546,Slight or No change,1066.6066666666666,1046.6709523809525,8.784744491181558
2017-11-28,1063.29,1073.99,1080.0,1054.54,1820000.0,11,2017,1935187800.0,-0.008134252478988134,Slight or No change,1065.9433333333334,1047.8383333333334,10.17916052404958
2017-11-29,1037.38,1056.18,1058.77,1029.65,2790000.0,11,2017,2894290200.0000005,-0.0243677642035568,Slight or No change,1041.9333333333334,1046.8328571428572,10.00360762763986
